Општина Чаир,Булевар Христијан Тодоровски Карпош бб,84561a32404e4e6abd51f910f8b085d9,21.4480944,42.0206370
ПСС - Ново Лисиче,Бул. Видое Смилевски Бато бр.6,cdaa976260584335a64c42ad9ebe169e,21.4721305,41.9815612
Управа за водење на матични книги-Чаир,ул. Христијан Тодоровски Карпош бр.5,9851f9d0fcee4036816dc662c0f13794,21.4479157,42.0206440
ПСС ЗАЈЧЕВ РИД,Скупи бр. 18,33c9aa0f1ea64815892920b08ae15907,21.3988191,42.0152659
Министерство за економија,Јуриј Гагарин бр. 15,d4484f0571de457e8c5b461f6ac216c7,21.4108511,41.9946549
Министерство за информатичко општество и администрација,Св. Кирил и Методиј бр.54,f471e37fc88c43898ba8e7fce95b91f3,21.4236477,41.9936611
Управа за водење на матични книги-Илинден,ул. 9 бб – Илинден,7b43725627d745f9b3af69ac4da394c0,21.5757026,41.9944086
Здружение на возачите на град Скопје - Карпош 4,ул. Никола Парапунов бр. 49,74b4d02aa30243519c80fd353aa36e7f,21.3822616,42.0087046
Управа за водење на матичните книги на Република Македонија - Подрачно одделение Скопје,ул. Кеј Димитар Влахов бб,"f03ba74bba2f4e6e94b47cc1a6f5e901
",21.4347749,41.9968828
Здружение на возачите на Град Скопје,ул. Народни Херои бр. 16,65dd11c2ecd744e0b3dc3d18edfea7d5,21.4485936,41.9793877
ПСС Пинтија,Борис Трајковски бр.143,26530113c9e042ef9cd1b67d6335c87a,21.4989337,41.9409428
Матична Служба Ѓорче Петров,ул. Виа Игнатиа бр.6,6346524170ca4a80899cbb6507771be4,21.3612163,42.0061489
Министерство за Култура,Мирослав Крлежа бр. 61,ac008914e21e4a17ad9b64da57886667,21.4217932,42.0003386
Управа за водење на матични книги- Центар,ул.Св.Кирил и Методиј бр.54,b8741a592cc2484eb6867e06c6ca625e,21.4240944,41.9936528
Општина Сарај,Рекреативен Центар бб,e7849aed2e8d460195d01848c4cdaef9,21.3354860,42.0013180
МВР- Одделение за управни работи во МТВ,"бул.Гоце Делчев, зграда на МТВ бр.18",4fab231cd53e474b917d3fd4fa9c5966,21.4446052,41.9968313
Технички преглед ЦЕРТУС-ЦРЦ регистрација на возила,Методија Андонов Ченто бр.15а,"dec9f7459501416f81659166b42d74a4
",21.4884285,42.0039577
Полициска станица Ѓорче Петров,бул. Македонска Војска бб,017c9a1e0726484ca564bd481c50332b,21.3620088,42.009074
Управа за водење на Матични Книги-Шуто Оризари,ул. Хаџи Јован Шишков бб,249e698b1ef64bb8b806aa6299d9b76a,21.4230417,42.0401991
Управа за водење на матични книги-Маџари,ул. Благоја Стефковски бб,"e749d7537dcc46399e04a16ae5efc1a5
",21.4994843,41.9957368
